,flag_promo_under1,flag_promo_under2,flag_children_protection_day,trend_year,wk_sold_median_base_price_byppg_log,tpr_discount_byppg,Catalogue_Dist,ACV_Selling,SI,ITEM5006_Lenta_PromotedDiscount,ITEM5006_Lenta_RegularPrice
2019-08-25,0,0,0,2,3.262065498357564,0.0,0.0,100.0,1.060583399171539,0.0,3.174584822188327
2019-09-01,0,0,0,2,3.260703255764726,0.0,0.0,100.0,0.998740887392874,0.0,3.174584822188327
2019-09-08,0,0,0,2,3.260703255764726,0.0,0.0,100.0,1.037908229044993,0.0,3.174584822188327
2019-09-15,0,0,0,2,3.260703255764726,0.0,0.0,100.0,0.98532192811704,0.0,3.174584822188327
2019-09-22,0,0,0,2,3.260703255764726,0.0,0.0,100.0,0.9641828680549396,0.0,3.174584822188327
2019-09-29,0,0,0,2,3.260703255764726,14.57142872469765,0.99,100.0,0.9753439174496024,0.0,3.174584822188327
2019-10-06,0,0,0,2,3.260703255764726,34.00000035762788,0.99,100.0,1.046001952859095,0.0,3.174584822188327
2019-10-13,0,0,0,2,3.260703255764726,34.00000035762788,0.99,100.0,1.013377336060051,0.0,3.188392764071816
2019-10-20,0,0,0,2,3.260703255764726,34.00000035762788,0.11,100.0,0.9939443554172048,0.0,3.195709309380022
2019-10-27,0,0,0,2,3.260703255764726,19.42857163293021,0.11,99.6,1.022675827207316,5.731478024956827,3.195709309380022
2019-11-03,0,0,0,2,3.260703255764726,0.0,0.0,99.59839357429718,1.044601993083796,9.83720489139872,3.195709309380022
2019-11-10,0,0,0,2,3.260703255764726,14.1428577048438,1.06,99.59839357429718,1.010469771426408,6.359918399378072,3.195709309380022
2019-11-17,0,0,0,2,3.247031589596562,33.00000131130219,1.06,99.59839357429718,1.008520965398652,0.0,3.196318560508708
2019-11-24,1,0,0,2,3.247031589596562,18.8571436064584,1.06,99.59839357429718,1.029241273742237,6.080446502856606,3.196318560508708
2019-12-01,0,0,0,2,3.247031589596562,0.0,0.0,100.0,1.038866576656901,7.099044784010823,3.196318560508708
2019-12-08,1,0,0,2,3.247031589596562,13.71428540774754,0.73,100.0,1.131459272836175,0.0,3.200313410408507
2019-12-15,1,0,0,2,3.247031589596562,31.99999928474427,0.73,100.0,1.147562970306972,0.0,3.196318560508708
