Nielsen SKU Name,Year,PPG Name,Retailer,DATE,Level,Activity name,Mechanic,"Discount, NRV %",Weeknum,TE Off Inv,TE On Inv,COGS,GMAC,PPG,List Price Nov 2019 Price per PC,List Price July 2020 Price per PC,List_Price
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021,Big Bars,Magnit,2021-08-08,NA,21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2,Single price off % discount,0.15,32,0.05,0.2436,14.453080357142856,0.6393942026660964,Big Bars,37.7,40.08,40.08
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021,Big Bars,Magnit,2021-08-15,NA,21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2,Single price off % discount,0.15,33,0.05,0.2436,14.453080357142856,0.6393942026660964,Big Bars,37.7,40.08,40.08
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021,Big Bars,Magnit,2021-08-22,NA,21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2,Single price off % discount,0.15,34,0.05,0.2436,14.453080357142856,0.6393942026660964,Big Bars,37.7,40.08,40.08
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021,Big Bars,Magnit,2021-08-29,NA,21_Snickers EBA + BBP#2_21_Snickers EBA + BBP#2,Single price off % discount,0.15,35,0.05,0.2436,14.453080357142856,0.6393942026660964,Big Bars,37.7,40.08,40.08
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021,Big Bars,Magnit,2021-11-14,NA,21_Snickers EBA + BBP#3_21_Snickers EBA + BBP#3,Single price off % discount,0.15,46,0.05,0.2436,14.453080357142856,0.6393942026660964,Big Bars,37.7,40.08,40.08
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021,Big Bars,Magnit,2021-11-21,NA,21_Snickers EBA + BBP#3_21_Snickers EBA + BBP#3,Single price off % discount,0.15,47,0.05,0.2436,14.453080357142856,0.6393942026660964,Big Bars,37.7,40.08,40.08
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021,Big Bars,Magnit,2021-11-28,NA,21_Snickers EBA + BBP#3_21_Snickers EBA + BBP#3,Single price off % discount,0.15,48,0.05,0.2436,14.453080357142856,0.6393942026660964,Big Bars,37.7,40.08,40.08
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021,Big Bars,Magnit,2021-12-05,NA,21_Snickers EBA + BBP#3_21_Snickers EBA + BBP#3,Single price off % discount,0.15,49,0.05,0.2436,14.453080357142856,0.6393942026660964,Big Bars,37.7,40.08,40.08
MARS(MARS) MAX MCH CARAM&NOUGA BR 0.081KG,2021,Big Bars,Magnit,2021-12-12,NA,21_Snickers EBA + BBP#3_21_Snickers EBA + BBP#3,Single price off % discount,0.15,50,0.05,0.2436,14.453080357142856,0.6393942026660964,Big Bars,37.7,40.08,40.08
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-01-03,NA,20_New Year Multibrand_20_New Year Multibrand,Single price off % discount,0.25,1,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
