Date,wk_sold_avg_price_byppg,wk_base_price_perunit_byppg,Promo,TE,List_Price,Promotion_Cost,COGS,tpr_discount_byppg,median_baseprice,flag_promo_under1,flag_promo_under2,flag_children_protection_day,trend_year,tpr_discount_byppg_train,Catalogue_Dist,ACV_Selling,SI,ITEM5006_Lenta_PromotedDiscount,ITEM5006_Lenta_RegularPrice,flag_christmas_day_new,QC,wk_sold_median_base_price_byppg_log,Baseline_Prediction,Baseline_Sales,Baseline_GSV,Baseline_Trade_Expense,Baseline_NSV,Baseline_MAC,Baseline_RP
2021-05-23,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,0.9285709571154358,7.28798970338892,3.2961429861401768,0,0,3.3344482204390498,97838.86829287835,2745641.8310195087,1999826.4679064336,619026.2848757574,1380800.183030676,901308.196005328,1364841.6479888326
2021-05-30,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,1,3,0.0,0.0,100.0,0.9459715121940688,8.71510470667074,3.2961429861401768,1,0,3.3344482204390498,168541.1223737356,4729751.72250628,3444980.5413191556,1066359.2767599314,2378621.2645592242,1552629.3139926083,2351130.457947056
2021-06-06,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,0.9852919758700588,5.070580592043693,3.2961429861401768,0,0,3.3344482204390498,101944.13504766919,2860847.4985227976,2083738.1203743583,645000.2977806788,1438737.8225936794,939126.6074142272,1422109.6759291182
2021-06-13,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,0.9279827236996584,0.0,3.2961429861401768,0,0,3.3344482204390498,102932.409980812,2888581.353628953,2103938.4600077975,651253.1109108136,1452685.349096984,948230.7631826876,1435896.004531969
2021-06-20,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,0.9544068445637592,0.0,3.2961429861401768,0,0,3.3344482204390498,104166.42260965829,2923211.319744509,2129161.6781414156,659060.7058518938,1470100.9722895217,959598.6961500213,1453110.3474549875
2021-06-27,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,1.002604477098611,0.0,3.2961429861401768,0,0,3.3344482204390498,106455.49067207788,2987449.195099078,2175950.2293372722,673543.6339890591,1502406.595348213,980685.9781461379,1485042.599750865
2021-07-04,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,1.049753579607072,0.0,3.2961429861401768,0,0,3.3344482204390498,108743.42572770479,3051655.2750036474,2222715.621874286,688019.3935949665,1534696.2282793194,1001762.822692126,1516959.046724328
2021-07-11,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,1.005852655567318,0.0,3.2961429861401768,0,0,3.3344482204390498,106611.55463657934,2991828.8016575603,2179140.1767716818,674531.0503179064,1504609.1264537754,982123.6657723393,1487219.6752037848
2021-07-18,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,100.0,0.947246818490748,0.0,3.2961429861401768,0,-4,3.3344482204390498,185553.997059225,3905386.6714321147,3792723.699890559,1828680.6955207328,1964043.0043698263,1054673.790448741,1941343.6670622884
2021-07-25,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,100.0,0.9451276002971496,0.0,3.2961429861401768,0,25,3.3344482204390498,185376.73532089987,3901655.8133466975,3789100.4699591934,1826933.7370931753,1962166.732866018,1053666.249180841,1939489.0804806794
